Unnamed: 0,ID,GameName,Publisher,ReleaseYear,Developer,Genre,Medium,Action,Action Horror,Action-Adventure,Action-RPG,Adventure,Aerial,American Football,Arcade Racing,Australian Football,Automobile,Baseball,Basketball,Battle Royale,Beat 'em up,Bowling,Boxing,Bullfighting,Card & Board,Casino,Collectable Card Game,Collection,Cricket,Cue Sports,Cycling,Dance,Darts,Dodgeball,Dungeon Crawler,Educational & Trivia,Equestrian Sports,Fighting,First Person Shooter,Fishing,Football,Golf,Hack & Slash,Handball,Health & Fitness,Hockey,Hunting,Lacrosse,MMO,MOBA,Management,Mech,Metroidvania,Mixed Martial Arts,Motocross,Music,Naval,On Rails,Open World,Party,Pinball,Platformer,Point & Click,Puzzle,Real Time,Roguelite,Role Playing,Rugby,Run & Gun,Sandbox,Shoot 'em up,Simulation,Simulation Racing,Skateboarding,Skating,Skiing,Snowboarding,Sports,Stealth,Strategy,Surfing,Survival,Survival Horror,Table Tennis,Tennis,Third Person Shooter,Tower Defence,Turn Based,Vehicular Combat,Visual Novel,Volleyball,Wrestling
3224,3225,ACA NEOGEO ALPHA MISSION II,Hamster,2017.0,Hamster,"[""Shoot 'em up""]",Digital only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9290,9291,Mighty Switch Force! Collection (JP),Oizumi Amuzio,2021.0,WayForward Technologies,"['Platformer', 'Collection']",Digital only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8307,8308,Beholder 2,Curve Games,2019.0,Warm Lamp Games,"['Simulation', 'Management']",Digital only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7889,7890,Cotton Boomerang (EU),City Connection,2021.0,"City Connection, Success","[""Shoot 'em up""]",Digital only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8711,8712,Nano Assault NEO-X,,2014.0,Shin'en Games,"[""Shoot 'em up""]",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4995,4996,Sword of the Necromancer (EU) (PS4),Grimorio of Games,2021.0,Grimorio of Games,"['Roguelite', 'Hack & Slash']",Digital only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6806,6807,JackQuest: Tale of the Sword,Level 77,2019.0,NX Games,['Platformer'],Digital only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506,1507,The Lost Bear,Fabrik Games,2017.0,Odd Bug Studio,"['Puzzle', 'Platformer']",Digital only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4018,4019,Sakura Succubus 2 (JP) (PS4),Gamuzumi,2021.0,Winged Cloud,['Visual Novel'],Digital only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6479,6480,H1Z1 (EU),Daybreak Games,2018.0,Daybreak Games,"['Battle Royale', 'Third Person Shooter']",Digital only,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
